Zeit;Fahrradbruecke;Fahrradbruecke stadteinwaerts;Fahrradbruecke stadtauswaerts;Symbol Wetter;Temperatur (°C);Gef�hlte Temperatur (°C);Regen (mm)
11.08.2018 17:00;987;466;521;Leicht bewoelkt;22;23;0
11.08.2018 18:00;936;452;484;Leicht bewoelkt;21;21;0
11.08.2018 19:00;834;401;433;Leicht bewoelkt;20;20;0
11.08.2018 20:00;725;355;370;Leicht bewoelkt;18;18;0
11.08.2018 21:00;593;260;333;Leicht bewoelkt;17;17;0
11.08.2018 22:00;279;147;132;Leicht bewoelkt;16;16;0
11.08.2018 23:00;931;483;448;Leicht bewoelkt;15;16;0
12.08.2018 00:00;499;214;285;Leicht bewoelkt;15;15;0
12.08.2018 01:00;284;83;201;Leicht bewoelkt;14;15;0
12.08.2018 02:00;168;41;127;Leicht bewoelkt;14;15;0
12.08.2018 03:00;110;41;69;Leicht bewoelkt;14;15;0
12.08.2018 04:00;34;18;16;Leicht bewoelkt;15;15;0
12.08.2018 05:00;34;19;15;Leicht bewoelkt;15;15;0
12.08.2018 06:00;30;12;18;Leicht bewoelkt;16;16;0
12.08.2018 07:00;58;32;26;Leicht bewoelkt;17;18;0
12.08.2018 08:00;86;45;41;Leicht bewoelkt;19;19;0
12.08.2018 09:00;236;128;108;Leicht bewoelkt;21;21;0
12.08.2018 10:00;279;138;141;Leicht bewoelkt;23;24;0
12.08.2018 11:00;405;201;204;Leicht bewoelkt;24;25;0
12.08.2018 12:00;435;204;231;Leicht bewoelkt;26;27;0
12.08.2018 13:00;517;238;279;Leicht bewoelkt;27;28;0
12.08.2018 14:00;512;233;279;Leicht bewoelkt;28;28;0
12.08.2018 15:00;503;229;274;Leicht bewoelkt;28;29;0
12.08.2018 16:00;500;262;238;Leicht bewoelkt;28;29;0
12.08.2018 17:00;514;248;266;Leicht bewoelkt;28;30;0
12.08.2018 18:00;519;274;245;Leicht bewoelkt;27;30;0
12.08.2018 19:00;489;233;256;Leicht bewoelkt;26;29;0
12.08.2018 20:00;429;221;208;Leicht bewoelkt;25;28;0
12.08.2018 21:00;290;106;184;Leicht bewoelkt;24;27;0
12.08.2018 22:00;198;86;112;Leicht bewoelkt;22;25;0
12.08.2018 23:00;104;47;57;Leicht bewoelkt;21;21;0
13.08.2018 00:00;65;25;40;Leicht bewoelkt;19;19;0
13.08.2018 01:00;36;18;18;Leicht bewoelkt;19;19;0
13.08.2018 02:00;18;9;9;Leicht bewoelkt;18;18;0
13.08.2018 03:00;2;1;1;Leicht bewoelkt;18;18;0
13.08.2018 04:00;7;4;3;Leicht bewoelkt;18;18;0
13.08.2018 05:00;44;23;21;Leicht bewoelkt;18;18;0
13.08.2018 06:00;142;96;46;Leicht bewoelkt;18;18;0
13.08.2018 07:00;331;189;142;Leicht bewoelkt;20;20;0
13.08.2018 08:00;429;253;176;Leicht bewoelkt;22;22;0
13.08.2018 09:00;454;249;205;Leicht bewoelkt;23;24;0
13.08.2018 10:00;540;273;267;Leicht bewoelkt;24;25;0
13.08.2018 11:00;559;287;272;Leicht bewoelkt;24;25;0
13.08.2018 12:00;622;272;350;Leicht bewoelkt;25;26;0
13.08.2018 13:00;459;219;240;Leicht bewoelkt;24;26;0
13.08.2018 14:00;387;189;198;Leicht bewoelkt;24;25;0
13.08.2018 15:00;437;211;226;Leicht bewoelkt;23;25;0
13.08.2018 16:00;548;252;296;Leicht bewoelkt;22;24;0
13.08.2018 17:00;610;285;325;Leichter Regenschauer;21;21;0
13.08.2018 18:00;548;257;291;Leichter Regenschauer;20;20;0
13.08.2018 19:00;397;193;204;Leichter Regenschauer;19;19;0
13.08.2018 20:00;281;111;170;Leicht bewoelkt;19;19;0
13.08.2018 21:00;206;87;119;Leicht bewoelkt;18;18;1
13.08.2018 22:00;136;66;70;Leicht bewoelkt;17;17;1
13.08.2018 23:00;75;27;48;Maessiger bis starker Regenschauer;17;17;0
14.08.2018 00:00;39;15;24;Maessiger bis starker Regenschauer;16;16;0
14.08.2018 01:00;21;10;11;Maessiger bis starker Regenschauer;16;16;0
14.08.2018 02:00;24;6;18;Stellenweiser Regenfall;15;15;0
14.08.2018 03:00;9;4;5;Stellenweiser Regenfall;15;15;0
14.08.2018 04:00;12;7;5;Stellenweiser Regenfall;15;15;0
14.08.2018 05:00;24;9;15;Leichter Regenschauer;16;16;0
14.08.2018 06:00;123;87;36;Leichter Regenschauer;16;16;0
14.08.2018 07:00;287;155;132;Leichter Regenschauer;17;17;0
14.08.2018 08:00;421;245;176;Leichter Regenschauer;18;18;0
14.08.2018 09:00;436;263;173;Leichter Regenschauer;18;18;0
14.08.2018 10:00;415;219;196;Leichter Regenschauer;19;19;1
14.08.2018 11:00;523;274;249;Stellenweiser Regenfall;20;20;1
14.08.2018 12:00;501;238;263;Stellenweiser Regenfall;20;20;1
14.08.2018 13:00;412;170;242;Stellenweiser Regenfall;20;20;1
14.08.2018 14:00;463;231;232;Maessiger bis starker Regenschauer;21;21;1
14.08.2018 15:00;558;285;273;Maessiger bis starker Regenschauer;21;21;1
14.08.2018 16:00;653;323;330;Maessiger bis starker Regenschauer;20;20;1
14.08.2018 17:00;791;361;430;Maessiger bis starker Regenschauer;19;19;1
14.08.2018 18:00;744;296;448;Maessiger bis starker Regenschauer;19;19;1
14.08.2018 19:00;537;237;300;Maessiger bis starker Regenschauer;18;18;1
14.08.2018 20:00;351;176;175;Maessiger bis starker Regenschauer;17;17;1
14.08.2018 21:00;247;109;138;Maessiger bis starker Regenschauer;16;16;0
14.08.2018 22:00;202;73;129;Maessiger bis starker Regenschauer;16;16;0
14.08.2018 23:00;127;50;77;Stellenweiser Regenfall;15;15;0
15.08.2018 00:00;67;25;42;Stellenweiser Regenfall;15;15;0
15.08.2018 01:00;44;16;28;Stellenweiser Regenfall;14;15;0
15.08.2018 02:00;33;11;22;Stellenweiser Regenfall;14;14;0
15.08.2018 03:00;12;5;7;Stellenweiser Regenfall;14;14;0
15.08.2018 04:00;7;5;2;Stellenweiser Regenfall;14;15;0
15.08.2018 05:00;42;22;20;Leicht bewoelkt;15;15;0
15.08.2018 06:00;135;88;47;Leicht bewoelkt;16;16;0
15.08.2018 07:00;322;173;149;Leicht bewoelkt;17;17;0
15.08.2018 08:00;431;266;165;Leicht bewoelkt;19;19;0
15.08.2018 09:00;532;292;240;Leicht bewoelkt;21;21;0
15.08.2018 10:00;509;253;256;Leicht bewoelkt;22;22;0
15.08.2018 11:00;584;328;256;Leicht bewoelkt;23;25;0
15.08.2018 12:00;645;305;340;Leicht bewoelkt;25;26;0
15.08.2018 13:00;547;260;287;Leicht bewoelkt;25;26;0
15.08.2018 14:00;626;305;321;Leicht bewoelkt;25;26;0
15.08.2018 15:00;662;305;357;Leicht bewoelkt;26;26;0
15.08.2018 16:00;730;371;359;Leicht bewoelkt;24;25;0
15.08.2018 17:00;888;419;469;Leicht bewoelkt;23;24;0
15.08.2018 18:00;772;331;441;Leicht bewoelkt;22;23;0
