lon;lat;count
9.0468817;47.744595;3
9.0472984;47.74469;2
9.047123;47.744564;2
9.0462885;47.744377;3
9.0467062;47.744473;3
9.046464;47.744499;1
9.0505028;47.745758;2
9.0505695;47.745602;2
9.0496511;47.744549;3
9.0494089;47.744579;3
9.0505943;47.745018;1
9.0504856;47.74474;2
9.0506611;47.744865;4
9.0498934;47.744522;3
9.0503101;47.744614;4
9.0500679;47.744644;2
9.0501347;47.744492;1
9.0475407;47.744659;3
9.0480242;47.744602;3
9.0477819;47.744633;4
9.0491676;47.74461;3
9.0489254;47.744637;3
9.0485077;47.744545;1
9.0482664;47.744572;2
9.0486832;47.744667;1
9.0484419;47.744698;2
9.0443363;47.743595;2
9.0447531;47.743687;3
9.0445118;47.743717;2
9.0436773;47.743526;2
9.0440941;47.743622;4
9.0438528;47.743652;2
9.0420084;47.743149;3
9.0421839;47.743271;2
9.0430183;47.743462;2
9.0434351;47.743557;3
9.0431929;47.743587;2
9.0424252;47.743244;2
9.0428429;47.74334;2
9.0426006;47.743366;3
9.0449286;47.743813;3
9.045104;47.743938;1
9.0458717;47.744282;2
9.0460472;47.744404;1
9.0451708;47.743782;1
9.046114;47.744251;1
9.0456963;47.744156;2
9.0453463;47.743908;2
9.0455208;47.744034;3
9.050271;47.748405;3
9.0504045;47.7481;3
9.0503378;47.748253;2
9.0505552;47.74881;3
9.0504465;47.748531;3
9.050621;47.748657;2
9.0501699;47.746525;3
9.0503025;47.74622;2
9.0502367;47.746372;2
9.0502787;47.746803;1
9.0503693;47.746063;3
9.050436;47.745911;2
9.0501032;47.746681;2
9.0504713;47.747944;3
9.0505371;47.747791;2
9.0503206;47.747234;3
9.0502119;47.746956;2
9.0501451;47.747112;2
9.0506039;47.747639;1
9.0503626;47.747669;1
9.0504951;47.74736;2
9.0504293;47.747513;3
9.0501471;47.737061;6
9.0505638;47.737156;7
9.0503225;47.737186;5
9.050456;47.736877;4
9.0502138;47.736908;1
9.0503893;47.737034;6
9.0499716;47.736938;3
9.050848;47.73756;6
9.0507393;47.737282;9
9.050498;47.737312;6
9.0509148;47.737404;16
9.0507565;47.7383;6
9.0508232;47.738144;5
9.0510406;47.738701;4
9.0507984;47.738731;8
9.0509319;47.738422;2
9.0506897;47.738453;4
9.0511074;47.738548;7
9.0508652;47.738575;7
9.0511322;47.737961;7
9.05089;47.737991;5
9.0510235;47.737682;6
9.0507813;47.737713;3
9.051199;47.737808;1
9.0509567;47.737839;6
9.0509987;47.73827;12
9.0511742;47.738392;3
9.0510654;47.738117;8
9.0505219;47.736725;1
9.0502806;47.736755;2
9.0500383;47.736782;4
9.0501719;47.736477;5
9.0503473;47.736599;5
9.0501051;47.736629;4
9.0507889;47.736111;3
9.0509224;47.735802;4
9.0506802;47.735832;2
9.0508556;47.735958;4
9.0503712;47.736015;5
9.0504379;47.735863;6
9.0502386;47.736324;5
9.0504141;47.736446;6
9.0505466;47.736141;2
9.0503054;47.736168;4
9.0504799;47.736294;6
9.050806;47.737129;6
9.0510902;47.73753;3
9.0524607;47.740715;5
9.0521097;47.740463;2
9.0525265;47.740559;2
9.0522852;47.740589;3
9.0514755;47.739815;3
9.0518923;47.73991;6
9.05165;47.739937;1
9.0517836;47.739632;4
9.0517168;47.739784;3
9.0517588;47.740215;1
9.0521765;47.740311;2
9.0518255;47.740063;2
9.052001;47.740185;2
9.0527439;47.741116;18
9.0526352;47.740837;6
9.0523939;47.740868;1
9.0525684;47.74099;10
9.0532703;47.741489;7
9.0534449;47.741611;5
9.0529194;47.741241;8
9.0530949;47.741364;6
9.0509071;47.73901;9
9.0513248;47.739105;5
9.0510826;47.739132;10
9.0512161;47.738827;9
9.0509739;47.738853;4
9.0513916;47.738949;5
9.0511913;47.73941;2
9.0516081;47.739506;3
9.0513668;47.739536;4
9.0515003;47.739227;3
9.0512581;47.739258;4
9.0514336;47.73938;4
9.039814;47.742393;2
9.0402308;47.742489;1
9.0399895;47.742519;3
9.039464;47.742146;2
9.0396385;47.742271;3
9.0404062;47.742615;3
9.0405817;47.742741;2
9.0414162;47.742928;1
9.0418329;47.743023;1
9.0415916;47.743053;3
9.0407572;47.742863;1
9.0411739;47.742958;3
9.0408239;47.74271;1
9.0409985;47.742832;2
9.038763;47.74165;1
9.0379286;47.741459;1
9.0383453;47.741554;3
9.0379953;47.741306;1
9.0381699;47.741428;2
9.0392885;47.742023;2
9.0389376;47.741772;2
9.039113;47.741898;3
9.0385208;47.74168;2
9.0375776;47.741211;2
9.0373363;47.741241;3
9.0377531;47.741333;2
9.0370941;47.741268;2
9.0553446;47.749393;4
9.0529251;47.749687;1
9.0531006;47.749809;1
9.0526829;47.749714;2
9.0523329;47.749466;2
9.0525074;47.749592;3
9.0513229;47.749153;3
9.0517397;47.749249;2
9.0514984;47.749275;3
9.0507298;47.748932;3
9.0511475;47.749027;2
9.0509052;47.749058;2
9.0519152;47.749371;3
9.0520906;47.749496;2
9.0546608;47.749912;8
9.0544186;47.749943;4
9.0547276;47.74976;9
9.0544853;47.749786;1
9.0528584;47.74984;2
9.0530338;47.749966;2
9.0748072;47.727215;8
9.0746984;47.726936;1
9.0748739;47.727062;4
9.0753326;47.727589;5
9.0756416;47.727406;3
9.0758171;47.727528;2
9.0755749;47.727558;4
9.0746737;47.727524;2
9.0750914;47.727619;6
9.0748491;47.727646;7
9.0747404;47.727367;6
9.0747652;47.726784;5
9.0749407;47.72691;3
9.0758829;47.727375;2
9.0744324;47.727554;5
9.0744982;47.727398;4
9.0741129;47.725117;1
9.0743303;47.72567;4
9.0742216;47.725391;3
9.0743971;47.725517;4
9.0741796;47.72496;5
9.0740709;47.724682;7
9.0742455;47.724808;5
9.0742884;47.725239;5
9.0743542;47.725086;2
9.0745897;47.726658;3
9.0743723;47.726105;5
9.0745058;47.725796;3
9.0742636;47.725826;1
9.074439;47.725948;5
9.074481;47.726379;4
9.0746565;47.726505;3
9.0745478;47.726227;4
9.0780716;47.729733;5
9.0783796;47.729549;2
9.0785551;47.729671;5
9.0783129;47.729702;7
9.0793896;47.729862;2
9.0798731;47.729805;2
9.0796318;47.729832;4
9.0787973;47.729645;3
9.0792141;47.729736;2
9.0789728;47.729767;4
9.0819349;47.730862;4
9.0823526;47.730957;2
9.0821104;47.730988;4
9.0812759;47.730797;5
9.0816936;47.730892;4
9.0815182;47.73077;3
9.0807505;47.730423;4
9.0803995;47.730175;3
9.080575;47.730301;3
9.080925;47.730549;3
9.0811005;47.730675;3
9.0800486;47.729927;4
9.080224;47.730053;4
9.0777206;47.729485;6
9.0778961;47.729607;4
9.0769777;47.728554;4
9.0766268;47.728306;5
9.0768023;47.728428;8
9.0764093;47.727749;2
9.0761671;47.727779;2
9.0760584;47.727501;6
9.0762339;47.727623;5
9.0766935;47.728149;6
9.0765848;47.727875;1
9.0763426;47.727901;5
9.0765181;47.728027;6
9.0746069;47.727676;8
9.0770197;47.728985;4
9.076911;47.728706;4
9.0770864;47.728832;6
9.0775452;47.729359;6
9.0771952;47.729111;6
9.0773697;47.729233;5
9.0907402;47.733288;4
9.0903893;47.733036;5
9.0905647;47.733162;5
9.0899715;47.732944;1
9.0909157;47.73341;5
9.0910902;47.733536;4
9.0922098;47.734127;4
9.0923843;47.734253;4
9.093153;47.734596;5
9.0935698;47.734688;4
9.0933285;47.734718;4
9.0925598;47.734375;4
9.0929775;47.73447;3
9.0927353;47.734501;6
9.0918589;47.733879;3
9.0916166;47.73391;3
9.0920343;47.734001;5
9.0900383;47.732788;2
9.0902138;47.732914;4
9.0909815;47.733257;1
9.0912657;47.733658;4
9.0916834;47.733753;1
9.0914412;47.733784;4
9.0913324;47.733505;1
9.0965757;47.736217;5
9.0963335;47.736248;4
9.1001568;47.736946;3
9.1003313;47.737068;1
9.0973015;47.73613;1
9.0976105;47.735947;5
9.0973682;47.735973;4
9.097785;47.736069;4
9.0966425;47.736061;1
9.0970592;47.736156;2
9.096818;47.736187;4
9.097126;47.736004;5
9.0968838;47.736034;2
9.0996971;47.73642;3
9.0994549;47.73645;6
9.1002226;47.736794;3
9.1003981;47.736916;4
9.0999813;47.73682;3
9.0998716;47.736542;6
9.0996304;47.736572;1
9.1000471;47.736668;4
9.0990372;47.736355;1
9.0987959;47.736382;2
9.0979605;47.736195;6
9.0981359;47.736317;5
9.0992126;47.736477;3
9.0989704;47.736507;3
9.0985537;47.736412;4
