lon;lat;count
9.0468817;47.744595;8
9.0472984;47.74469;3
9.0473652;47.744537;2
9.047123;47.744564;7
9.0462217;47.74453;1
9.0465307;47.744347;3
9.0462885;47.744377;7
9.0467062;47.744473;7
9.046464;47.744499;3
9.050128;47.746094;1
9.0505028;47.745758;4
9.0505695;47.745602;4
9.0496511;47.744549;3
9.0494089;47.744579;6
9.0505943;47.745018;2
9.0504856;47.74474;5
9.0502434;47.74477;2
9.0506611;47.744865;6
9.0498266;47.744675;7
9.0495844;47.744705;4
9.0500021;47.744797;1
9.0506859;47.744278;6
9.0504436;47.744308;2
9.0506191;47.744431;1
9.0503101;47.744614;2
9.0500679;47.744644;8
9.0503769;47.744461;4
9.0501347;47.744492;5
9.0475407;47.744659;9
9.0479574;47.744755;1
9.0480242;47.744602;7
9.0477819;47.744633;6
9.0491676;47.74461;7
9.0489254;47.744637;8
9.0493422;47.744732;4
9.0491009;47.744762;2
9.0481997;47.744728;4
9.0485077;47.744545;1
9.0482664;47.744572;3
9.0486832;47.744667;7
9.0484419;47.744698;6
9.0412331;47.744408;6
9.0412998;47.744255;2
9.0417175;47.74435;7
9.0414753;47.744377;6
9.0419588;47.74432;4
9.0443363;47.743595;3
9.0447531;47.743687;9
9.0445118;47.743717;7
9.0436773;47.743526;4
9.0440941;47.743622;9
9.0438528;47.743652;2
9.0420084;47.743149;5
9.0417662;47.743179;2
9.0421839;47.743271;3
9.0430183;47.743462;4
9.0434351;47.743557;5
9.0431929;47.743587;3
9.0423594;47.743397;1
9.0427761;47.743492;3
9.0424252;47.743244;2
9.0426006;47.743366;4
9.0449286;47.743813;6
9.045104;47.743938;3
9.0458717;47.744282;4
9.0460472;47.744404;3
9.0449953;47.74366;1
9.0451708;47.743782;5
9.0459385;47.744125;2
9.046114;47.744251;3
9.0452795;47.744061;2
9.0456963;47.744156;10
9.045454;47.744186;1
9.0453463;47.743908;7
9.0455208;47.744034;6
9.0442696;47.743748;4
9.050271;47.748405;4
9.0504045;47.7481;4
9.0501623;47.748127;1
9.0503378;47.748253;4
9.0503798;47.748684;4
9.0505552;47.74881;4
9.0504465;47.748531;2
9.0502043;47.748562;2
9.0501699;47.746525;4
9.0503025;47.74622;3
9.0502367;47.746372;5
9.0503693;47.746063;3
9.050436;47.745911;4
9.0500364;47.746834;2
9.0501032;47.746681;5
9.0504713;47.747944;4
9.0505371;47.747791;3
9.0502958;47.747822;1
9.0503206;47.747234;6
9.0502119;47.746956;4
9.0501451;47.747112;2
9.0506039;47.747639;1
9.0503626;47.747669;2
9.0504951;47.74736;1
9.0502539;47.747391;1
9.0504293;47.747513;5
9.0377054;47.746727;8
9.0377722;47.746574;6
9.0375719;47.747036;2
9.0376387;47.746883;7
9.0380812;47.746391;2
9.0378389;47.746422;5
9.038147;47.746239;8
9.0379057;47.746269;3
9.038414;47.745625;5
9.038723;47.745441;7
9.0386562;47.745594;75
9.0382137;47.746086;6
9.0383472;47.745777;5
9.0382805;47.74593;6
9.0372982;47.749252;4
9.037715;47.749348;4
9.0375395;47.749226;6
9.0371227;47.74913;6
9.0379992;47.749752;2
9.0378904;47.749474;3
9.0378237;47.749626;5
9.0379324;47.749905;6
9.051569;47.743298;3
9.0517025;47.742989;2
9.0516357;47.743145;3
9.0516777;47.743576;1
9.052495;47.742748;3
9.0519447;47.742962;4
9.0522528;47.742779;3
9.0520115;47.742805;2
9.0514355;47.743607;2
9.0515022;47.74345;3
9.0525618;47.742596;1
9.0501471;47.737061;4
9.0505638;47.737156;5
9.0503225;47.737186;4
9.0502138;47.736908;2
9.0507393;47.737282;2
9.0509148;47.737404;3
9.0508232;47.738144;1
9.0510406;47.738701;6
9.0509319;47.738422;5
9.0511074;47.738548;3
9.0508652;47.738575;1
9.0511322;47.737961;2
9.05089;47.737991;1
9.0510235;47.737682;2
9.0509567;47.737839;3
9.0509987;47.73827;6
9.0510654;47.738117;4
9.0500383;47.736782;4
9.0501719;47.736477;5
9.0501051;47.736629;3
9.0506134;47.735985;3
9.0506802;47.735832;4
9.0503712;47.736015;4
9.0504379;47.735863;1
9.0502386;47.736324;5
9.0503054;47.736168;4
9.050806;47.737129;1
9.0509815;47.737251;5
9.0510902;47.73753;3
9.0524607;47.740715;3
9.052352;47.740437;2
9.0522852;47.740589;3
9.0518923;47.73991;3
9.0515423;47.739658;2
9.0517168;47.739784;5
9.0521765;47.740311;4
9.0520678;47.740032;2
9.0518255;47.740063;2
9.052001;47.740185;3
9.0527439;47.741116;1
9.0526352;47.740837;3
9.0528107;47.740963;2
9.0525684;47.74099;3
9.0513248;47.739105;2
9.0510826;47.739132;1
9.0509739;47.738853;4
9.0511494;47.738979;4
9.0516081;47.739506;3
9.0512581;47.739258;3
9.0514336;47.73938;3
9.039957;47.744709;5
9.0397148;47.744736;5
9.0409918;47.744438;4
9.0407495;47.744465;5
9.0408831;47.74416;17
9.0406408;47.744186;5
