,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region,Unnamed: 21,Unnamed: 22,lon_fix,lat_fix
194,4.767.928.589,917.024.206,"1,64942E+12",1,0,0,2,7,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17024,47.67928
195,4.767.938.653,916.337.438,"1,64942E+12",1,0,0,2,7,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.16337,47.67938
196,47.645.716,9.177.838,"1,66039E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17783,47.64571
197,47.644.833,9.179.491,"1,66039E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17949,47.64483
198,47.643.758,9.182.271,"1,66039E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.18227,47.64375
199,47.653.135,9.173.687,"1,66039E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17368,47.65313
200,47.658.389,9.171.254,"1,66039E+12",2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.17125,47.65838
201,47.667.300,9.179.971,"1,66039E+12",2,0,0,0,8,0,0,0,0,0,0,0,0,1,0,Absperrung ohne Ankündigung ,0,Konstanz,,,9.17997,47.6673
202,47.673.234,9.183.733,"1,66039E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.18373,47.67323
203,47.673.703,9.183.644,"1,66039E+12",2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.18364,47.6737
204,47.667.575,9.173.703,"1,66015E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.1737,47.66757
205,47.668.773,9.193.080,"1,66024E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.19308,47.66877
206,47.669.182,9.191.370,"1,66024E+12",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.19137,47.66918
207,47.674.333,9.183.075,"1,66024E+12",2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.18307,47.67433
208,47.677.526,9.144.903,"1,66039E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.1449,47.67752
209,47.672.362,9.161.217,"1,66039E+12",2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.16121,47.67236
210,47.678.559,9.153.223,"1,6643E+12",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,Konstanz,,,9.15322,47.67855
211,47.677.776,9.155.665,"1,6643E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.15566,47.67777
212,47.673.620,9.168.812,"1,6643E+12",2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.16881,47.67362
213,47.674.382,9.170.905,"1,6643E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Konstanz,,,9.1709,47.67438
