,lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region,Unnamed: 21,Unnamed: 22,lon_fix,lat_fix
71,4.768.709.666.666.660,919.383,"1,61365E+12",0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,Gefährliche Eisplatte in der Unterführung Hockgrabengenau in der Kurve.,0,Konstanz,,,9.19383,47.68709
72,47.663.626,9.175.801,"1,61374E+12",1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,"Freilaufender Hund, starkes abbremsen, Hundehalterin zeigt kein Interesse!",0,Konstanz,,,9.1758,47.66362
73,47.678.828,9.152.485,"1,61885E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Ca. 70 cm seitlicher Abstand ,0,Konstanz,,,9.15248,47.67882
74,47.677.908,9.155.316,"1,61885E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Ca. 1 m seitlicher Abstand,0,Konstanz,,,9.15531,47.6779
75,47.677.453,9.156.741,"1,61885E+12",2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Ca. 80 cm seitlicher Abstand,0,Konstanz,,,9.15674,47.67745
76,47.677.160,9.157.744,"1,61885E+12",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Ca. 1 m seitlicher Abstand,0,Konstanz,,,9.15774,47.67716
77,4.767.353.757.288.850,920.260.999.342.926,"1,61945E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.2026,47.67353
78,4.767.348.019.410.390,9.201.430.217.040.820,"1,61893E+12",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20143,47.67348
79,47.675.329.967.651.200,9.185.383.633.603.120,"1,61873E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Zu eng mit parkenden Autos\n,0,Konstanz,,,9.18538,47.67532
80,47.675.337.698.239.300,9.184.966.183.671.750,"1,61865E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.18496,47.67533
81,4.767.364.825.650.350,9.202.901.414.536.100,"1,61865E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.2029,47.67364
82,4.767.349.564.304.170,9.202.702.022.550.800,"1,61609E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Unbersichtliche Stelle mit Gegenverkehr ,0,Konstanz,,,9.2027,47.67349
83,47.700.600.916.366.100,9.158.500.890.696.640,"1,61954E+12",0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,Motorroller auf Radweg,0,Konstanz,,,9.1585,47.7006
84,4.767.553.566.206.580,9.183.878.462.783.750,"1,61798E+12",0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.18387,47.67553
85,47.673.415.013.656,9.201.687.867.731.100,"1,61729E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20168,47.67341
86,4.767.280.812.403.960,9.207.131.145.738.730,"1,61729E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20713,47.6728
87,47.672.520.757.640.700,9.176.318.184.619.390,"1,61727E+12",0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Konstanz,,,9.17631,47.67252
88,4.768.133.103.801.270,9.170.074.062.260.920,"1,61727E+12",0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,,0,Konstanz,,,9.17007,47.68133
89,47.673.781.162.230.300,920.300.049.310.172,"1,61814E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.203,47.67378
90,4.767.258.166.666.660,9.171.876.666.666.660,"1,61805E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.17187,47.67258
91,4.767.351.398.174.510,920.268.404.313.852,"1,61927E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.20268,47.67351
92,4.767.265.232.961.210,9.207.315.412.259.680,"1,61927E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20731,47.67265
93,47.673.477.455.512.000,9.202.565.924.051.710,"1,61873E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Konstanz,,,9.20256,47.67347
94,4.767.348.504.506.530,9.202.521.690.619.500,"1,61864E+12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.20252,47.67348
95,4.770.907.942.763.820,9.170.228.445.486.340,"1,61796E+12",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Konstanz,,,9.17022,47.70907
96,4.768.234.155.058.860,9.147.453.439.327.700,"1,61894E+12",0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,Vater mit Kind radeln parallel durch die Engstelle .... das war richtig knapp.\n,0,Konstanz,,,9.14745,47.68234
97,47.679.583.047.138.500,9.156.048.390.165.840,"1,61894E+12",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,ist zwar rechts vor links aber aus der Unterführung kommend hat das Rad meine Seite geschnitten,0,Konstanz,,,9.15604,47.67958
